task_id,user_id,completion_time,task_switches,interruptions,worked_outside_hours,actual_start_date,actual_completion_date,efficiency_ratio
task_00001,user_005,1.28,0,0,False,2025-03-07 01:20:11.657294,2025-03-08 01:20:11.657294,0.959
task_00002,user_003,1.78,0,2,False,2025-03-06 01:20:11.657294,,1.079
task_00005,user_009,7.52,1,0,False,2025-04-19 01:20:11.657294,2025-04-22 01:20:11.657294,0.441
task_00009,user_006,2.83,0,0,False,2025-03-29 01:20:11.657294,,0.927
task_00012,user_002,6.57,0,1,True,2025-07-23 01:20:11.657294,2025-07-23 01:20:11.657294,0.664
task_00015,user_005,2.92,0,0,False,2025-02-22 01:20:11.657294,,1.041
task_00017,user_004,2.21,0,0,False,2025-03-18 01:20:11.657294,2025-03-23 01:20:11.657294,1.318
task_00019,user_005,2.34,0,0,False,2025-06-09 01:20:11.657294,2025-06-11 01:20:11.657294,1.348
task_00021,user_010,2.76,1,1,False,2025-03-05 01:20:11.657294,2025-03-07 01:20:11.657294,0.794
task_00024,user_009,2.88,1,0,False,2025-04-12 01:20:11.657294,2025-04-12 01:20:11.657294,0.765
task_00034,user_010,1.18,0,1,True,2025-06-15 01:20:11.657294,,1.055
task_00039,user_008,5.48,0,0,False,2025-03-13 01:20:11.657294,2025-03-29 01:20:11.657294,0.649
task_00042,user_003,1.16,0,1,False,2025-04-07 01:20:11.657294,2025-04-07 01:20:11.657294,0.92
task_00043,user_002,1.72,0,0,False,2025-03-24 01:20:11.657294,,0.981
task_00044,user_007,2.49,2,0,False,2025-04-20 01:20:11.657294,2025-04-25 01:20:11.657294,0.566
task_00045,user_001,2.84,0,1,True,2025-05-30 01:20:11.657294,2025-05-30 01:20:11.657294,0.876
task_00047,user_003,1.48,0,1,False,2025-05-16 01:20:11.657294,2025-05-24 01:20:11.657294,1.707
task_00048,user_009,3.86,1,0,False,2025-04-15 01:20:11.657294,2025-04-15 01:20:11.657294,0.86
task_00049,user_010,2.01,2,1,False,2025-02-20 01:20:11.657294,2025-02-24 01:20:11.657294,0.886
task_00050,user_009,8.79,4,0,False,2025-06-19 01:20:11.657294,2025-06-28 01:20:11.657294,0.462
task_00056,user_002,1.23,0,0,False,2025-02-14 01:20:11.657294,2025-02-19 01:20:11.657294,0.693
task_00057,user_004,2.19,0,1,False,2025-05-13 01:20:11.657294,2025-05-15 01:20:11.657294,0.931
task_00060,user_004,1.27,1,1,False,2025-07-20 01:20:11.657294,2025-07-22 01:20:11.657294,1.303
task_00066,user_001,2.76,0,1,True,2025-07-07 01:20:11.657294,2025-07-08 01:20:11.657294,0.884
task_00068,user_008,16.01,0,1,False,2025-04-21 01:20:11.657294,,0.593
task_00070,user_010,1.6,4,0,True,2025-06-12 01:20:11.657294,2025-06-12 01:20:11.657294,0.852
task_00072,user_007,4.66,3,2,True,2025-07-09 01:20:11.657294,2025-07-13 01:20:11.657294,1.071
task_00076,user_009,3.49,1,0,False,2025-04-15 01:20:11.657294,,0.639
task_00077,user_001,9.51,0,1,False,2025-04-11 01:20:11.657294,,0.828
