task_id,completion_time,actual_start_date,actual_completion_date
1,3.199944,2025-02-07 19:49:56.540703,2025-02-20 19:49:56.540703
2,2.326665,2025-02-13 19:49:56.540703,
3,4.050878,2025-03-05 19:49:56.540703,2025-03-23 19:49:56.540703
4,2.453058,2025-01-07 19:49:56.540703,2025-01-28 19:49:56.540703
5,0.802271,2025-01-18 19:49:56.540703,
7,2.889094,2025-01-30 19:49:56.540703,
8,0.5,2025-02-11 19:49:56.540703,2025-03-10 19:49:56.540703
9,2.666089,2025-02-08 19:49:56.540703,2025-02-20 19:49:56.540703
10,4.795578,2025-02-22 19:49:56.540703,2025-03-08 19:49:56.540703
11,3.82025,2025-01-13 19:49:56.540703,
13,3.014027,2025-01-07 19:49:56.540703,
14,3.7423,2025-01-14 19:49:56.540703,2025-02-06 19:49:56.540703
15,3.81571,2025-02-07 19:49:56.540703,2025-02-18 19:49:56.540703
18,2.10864,2025-02-08 19:49:56.540703,
19,3.214609,2025-01-12 19:49:56.540703,2025-01-31 19:49:56.540703
22,5.292774,2025-01-25 19:49:56.540703,
23,1.460584,2025-02-04 19:49:56.540703,
24,0.77561,2025-01-24 19:49:56.540703,
25,1.975459,2025-02-14 19:49:56.540703,2025-03-13 19:49:56.540703
26,4.991597,2025-02-08 19:49:56.540703,2025-03-05 19:49:56.540703
27,0.927212,2025-01-09 19:49:56.540703,
28,0.552992,2025-01-10 19:49:56.540703,2025-01-26 19:49:56.540703
29,1.024303,2025-02-27 19:49:56.540703,
30,0.847069,2025-02-21 19:49:56.540703,2025-03-20 19:49:56.540703
31,1.231658,2025-02-24 19:49:56.540703,2025-03-02 19:49:56.540703
33,1.464239,2025-02-04 19:49:56.540703,2025-02-05 19:49:56.540703
34,3.793075,2025-02-04 19:49:56.540703,
36,0.848459,2025-03-02 19:49:56.540703,
38,1.933499,2025-01-31 19:49:56.540703,2025-02-18 19:49:56.540703
39,2.610256,2025-01-15 19:49:56.540703,
43,2.223615,2025-02-17 19:49:56.540703,2025-03-03 19:49:56.540703
45,0.5,2025-02-01 19:49:56.540703,
46,1.972272,2025-02-18 19:49:56.540703,2025-02-18 19:49:56.540703
48,2.566718,2025-03-01 19:49:56.540703,
49,3.779638,2025-01-16 19:49:56.540703,2025-02-03 19:49:56.540703
50,3.933309,2025-02-15 19:49:56.540703,
53,3.57064,2025-02-12 19:49:56.540703,2025-03-13 19:49:56.540703
56,2.354523,2025-02-14 19:49:56.540703,
58,3.894801,2025-02-07 19:49:56.540703,2025-02-16 19:49:56.540703
60,4.889524,2025-01-21 19:49:56.540703,
61,2.599782,2025-02-02 19:49:56.540703,2025-02-02 19:49:56.540703
62,4.24656,2025-01-09 19:49:56.540703,2025-02-04 19:49:56.540703
63,1.651921,2025-01-07 19:49:56.540703,2025-01-12 19:49:56.540703
65,4.231236,2025-01-12 19:49:56.540703,
66,2.571552,2025-02-06 19:49:56.540703,
67,2.436233,2025-01-12 19:49:56.540703,
68,1.440523,2025-01-09 19:49:56.540703,
69,6.072955,2025-02-11 19:49:56.540703,2025-02-15 19:49:56.540703
